,title,address,area,price,number_bedroom,number_wc,number_floor,direction,entrance,facade,number_parking,id_estate
110,Căn hộ quy nhơn melody view đẹp vị trí độc tôn sát biển,"Quy Nhơn Melody Hưng Thịnh, Phường Bùi Thị Xuân, Thành Phố Quy Nhơn, Bình Định",50,1.7,2,1,35,Đông,40,40,2,3430539
111,"Thông tin căn hộ new galaxy nha trang sát biển, sở hữu lâu dài chỉ với 1.7 tỷ","Khu đô thị biển An Viên, Phường Vĩnh Trường, Thành Phố Nha Trang, Khánh Hòa",35,1.7,1,1,23,,30,30,1,3947441
112,Chỉ cần 500 triệu sở hữu căn hộ biển cạnh vinpearl - dự án new galaxy nha trang,"Khu đô thị biển An Viên, Phường Vĩnh Trường, Thành Phố Nha Trang, Khánh Hòa",35,1.7,1,1,23,,30,30,1,3947459
113,Bán căn hộ biên hòa universe complex có smart home đầu tiên ở khu vực,"TP Biên Hòa, Đồng Nai",73,2.25,2,2,29,,40,40,2,3850643
114,"Tiến độ bàn giao q7 boulevard. liên hệ 0931 025 383 để nhận thông tin, bảng giá","Q7 Boulevard, Quận 7, TP HCM",50,2.3,1,1,23,,40,40,1,3926637
115,Nhận ngay chiết khấu đến 18% khi mua căn hộ new galaxy hưng thịnh,"Căn hộ làng đại học Thủ Đức, Thị Xã Dĩ An, Bình Dương",52,1.7,1,1,19,,32,32,1,3790757
116,"Hưng thịnh mở bán chung cư lavita thuận an cao cấp, mặt tiền đại lộ bình dương","Đại Lộ Bình DƯơng, Thị Xã Thuận An, Bình Dương",70,2.25,2,2,38,,40,40,1,3894046
117,"Block mặt tiền căn hộ lavita thuận an, căn đẹp giá rẻ, chiết khấu đến 18%/năm","Đại Lộ Bình DƯơng, Thị Xã Thuận An, Bình Dương",51,1.8,1,1,33,,40,40,1,3917306
118,"Bán căn hộ 3pn 87m2 tại long biên-hc golden , giá chỉ tu 3.8 tỷ","HC Golden City, Phường Bồ Đề, Quận Long Biên, Hà Nội",87,3.8,3,2,,Đông bắc,,,4,3915198
119,"Chung cư mini trích sài - văn cao full nội thất view hồ tây, gần mặt đường","Đường ven Hồ Tây, Quận Tây Hồ, Hà Nội",32,0.65,1,1,,,,,,3922535
120,Chung cư mini xuân đỉnh công viên hòa bình ngõ 2 ô tô chánh nhau,"Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",45,0.6,2,1,,,,,,3821260
121,Chung cư mini văn cao - hoàng hoa thám - trích sài ngay mặt hồ tây,"Văn Cao, Quận Ba Đình, Hà Nội",32,0.65,1,1,,,,,,3922713
122,Chung cư mini hào nam full nội thất cách mặt đường 20m,"Hào Nam, Quận Đống Đa, Hà Nội",42,0.84,2,1,,,,,,3707042
123,Chung cư mini kim mã full vào ở luôn tặng ngay bộ nội thất,"Kim Mã, Quận Ba Đình, Hà Nội",32,0.63,1,1,5,,3,,,3641471
124,"Chung cư mini trích sài - văn cao full nội thất view hồ tây, gần mặt đường","Đường ven Hồ Tây, Quận Tây Hồ, Hà Nội",32,0.65,1,1,,,,,,3922535
125,Chung cư mini dịch vọng hậu full nội thất 600 đến 1 tỷ /căn,"Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",35,0.6,1,1,,,,,,3534789
126,Chung cư mini dịch vọng hậu nội thất cao cấp chỉ từ 800 tr,"Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",43,0.8,2,1,,,,,,3536945
127,Chung cư mini lạc long quân ô tô đỗ cửa view hồ tây,"Quận Tây Hồ, Hà Nội",35,0.55,2,1,,,5,,,3670244
128,Chung cư mini phương liên xã đàn chỉ hơn 500 triệu full đồ,"Xã Đàn, Quận Đống Đa, Hà Nội",32,0.55,1,1,,,,,,3671943
129,Chung cư mini 280 xã đàn chỉ hơn 500 triệu full nội thất,"Xã Đàn, Quận Đống Đa, Hà Nội",45,0.92,2,1,,,,,,3677816
130,"Chung cư võng thị - tây hồ, cực đẹp, view hồ tây","Võng Thị, Quận Tây Hồ, Hà Nội",48,1.1,2,1,,,,,,3679827
131,Chung cư mini ngõ chợ khâm thiên chỉ từ 550 triệu/căn đủ đồ,"Khâm Thiên, Quận Đống Đa, Hà Nội",35,0.78,1,1,,,,,,3682250
132,Mở bán chung cư mini cầu diễn - hồ tùng mậu chỉ từ 550 triệu/căn ngõ ô tô,"Đường Cầu Diễn, Quận Bắc Từ Liêm, Hà Nội",31,0.55,1,1,,,,,,3769103
133,Chủ đầu tư mở bán chung cư mini nguyễn văn huyên - cv nghĩa đô,"Nguyễn Văn Huyên, Quận Cầu Giấy, Hà Nội",45,0.6,2,1,,,,,,3769396
134,"Chung cư mini hoàng hoa thám - văn cao - liễu giai, ba đình giá chỉ 630 - 1050tr","Hoàng Hoa Thám, Quận Ba Đình, Hà Nội",48,0.85,2,1,,,,,,3923165
135,Mở bán chung cư mini nguyễn văn cừ - long biên chỉ từ 650 triệu full nội thất,"Nguyễn Văn Cừ, Quận Long Biên, Hà Nội",42,0.65,,,,,,,,3937981
136,Chung cư mini hồ tùng mậu - xuân thủy chỉ hơn 500 triệu/căn,"Hồ Tùng Mậu, Quận Cầu Giấy, Hà Nội",31,0.56,1,1,,,,,,3862664
137,"Chung cư mini trần khát chân gần đh bách khoa, full nội thất ở ngay","Trần Khát Chân, Quận Hai Bà Trưng, Hà Nội",42,0.65,2,1,,,,,,3819499
138,Bán gấp căn hộ chung cư mini sơn tây cách mặt đường 10m,"Quận Ba Đình, Hà Nội",48,1.2,2,1,,,,,,3447487
139,Chung cư mini đội cấn chỉ từ 950 triệu căn hộ 2 phòng ngủ,"Đội Cấn, Quận Ba Đình,",48,0.95,,,,,,,,2623702
140,Mở bán chung cư mini cầu diễn - hồ tùng mậu chỉ từ 550 triệu/căn ngõ ô tô,"Đường Cầu Diễn, Quận Bắc Từ Liêm, Hà Nội",31,0.55,1,1,,,,,,3769103
141,Chủ đầu tư mở bán chung cư mini nguyễn văn huyên - cv nghĩa đô,"Nguyễn Văn Huyên, Quận Cầu Giấy, Hà Nội",45,0.6,2,1,,,,,,3769396
142,Chung cư mini sơn tây kim mã cách mặt phố 20m đủ nội thất,"Sơn Tây, Quận Ba Đình, Hà Nội",45,0.9,2,1,,,,,,3490225
143,Bán gấp căn hộ chung cư mini sơn tây cách mặt đường 10m,"Quận Ba Đình, Hà Nội",48,1.2,2,1,,,,,,3447487
144,Chung cư mini đội cấn chỉ từ 950 triệu căn hộ 2 phòng ngủ,"Đội Cấn, Quận Ba Đình,",48,0.95,,,,,,,,2623702
